title	author	date	link	emotion	value
Drift	Brenda Shaughnessy	2016-04-07	http://poetry.lib.uidaho.edu/index.php/poems/drift/	anger	0.0989
Drift	Brenda Shaughnessy	2016-04-07	http://poetry.lib.uidaho.edu/index.php/poems/drift/	disgust	0.0888
Drift	Brenda Shaughnessy	2016-04-07	http://poetry.lib.uidaho.edu/index.php/poems/drift/	fear	0.1575
Drift	Brenda Shaughnessy	2016-04-07	http://poetry.lib.uidaho.edu/index.php/poems/drift/	joy	0.2299
Drift	Brenda Shaughnessy	2016-04-07	http://poetry.lib.uidaho.edu/index.php/poems/drift/	sadness	0.5278
Histories 7	Chris Abani	2016-04-21	http://poetry.lib.uidaho.edu/index.php/poems/histories-7/	anger	0.1797
Histories 7	Chris Abani	2016-04-21	http://poetry.lib.uidaho.edu/index.php/poems/histories-7/	disgust	0.0972
Histories 7	Chris Abani	2016-04-21	http://poetry.lib.uidaho.edu/index.php/poems/histories-7/	fear	0.1419
Histories 7	Chris Abani	2016-04-21	http://poetry.lib.uidaho.edu/index.php/poems/histories-7/	joy	0.1732
Histories 7	Chris Abani	2016-04-21	http://poetry.lib.uidaho.edu/index.php/poems/histories-7/	sadness	0.5339
Family Trip	Brenda Shaughnessy	2016-04-10	http://poetry.lib.uidaho.edu/index.php/poems/family-trip/	anger	0.1309
Family Trip	Brenda Shaughnessy	2016-04-10	http://poetry.lib.uidaho.edu/index.php/poems/family-trip/	disgust	0.0454
Family Trip	Brenda Shaughnessy	2016-04-10	http://poetry.lib.uidaho.edu/index.php/poems/family-trip/	fear	0.4151
Family Trip	Brenda Shaughnessy	2016-04-10	http://poetry.lib.uidaho.edu/index.php/poems/family-trip/	joy	0.0121
Family Trip	Brenda Shaughnessy	2016-04-10	http://poetry.lib.uidaho.edu/index.php/poems/family-trip/	sadness	0.5189
In the Graveyard	Erin Belieu	2016-04-29	http://poetry.lib.uidaho.edu/index.php/poems/in-the-graveyard/	anger	0.2702
In the Graveyard	Erin Belieu	2016-04-29	http://poetry.lib.uidaho.edu/index.php/poems/in-the-graveyard/	disgust	0.2095
In the Graveyard	Erin Belieu	2016-04-29	http://poetry.lib.uidaho.edu/index.php/poems/in-the-graveyard/	fear	0.1429
In the Graveyard	Erin Belieu	2016-04-29	http://poetry.lib.uidaho.edu/index.php/poems/in-the-graveyard/	joy	0.2326
In the Graveyard	Erin Belieu	2016-04-29	http://poetry.lib.uidaho.edu/index.php/poems/in-the-graveyard/	sadness	0.2351
Divination 4	Chris Abani	2016-01-22	http://poetry.lib.uidaho.edu/index.php/poems/divination-4/	anger	0.1369
Divination 4	Chris Abani	2016-01-22	http://poetry.lib.uidaho.edu/index.php/poems/divination-4/	disgust	0.2082
Divination 4	Chris Abani	2016-01-22	http://poetry.lib.uidaho.edu/index.php/poems/divination-4/	fear	0.7627
Divination 4	Chris Abani	2016-01-22	http://poetry.lib.uidaho.edu/index.php/poems/divination-4/	joy	6.0E-4
Divination 4	Chris Abani	2016-01-22	http://poetry.lib.uidaho.edu/index.php/poems/divination-4/	sadness	0.064
Elephants 1	Chris Abani	2016-03-09	http://poetry.lib.uidaho.edu/index.php/poems/elephants-1/	anger	0.4172
Elephants 1	Chris Abani	2016-03-09	http://poetry.lib.uidaho.edu/index.php/poems/elephants-1/	disgust	0.161
Elephants 1	Chris Abani	2016-03-09	http://poetry.lib.uidaho.edu/index.php/poems/elephants-1/	fear	0.5779
Elephants 1	Chris Abani	2016-03-09	http://poetry.lib.uidaho.edu/index.php/poems/elephants-1/	joy	0.5538
Elephants 1	Chris Abani	2016-03-09	http://poetry.lib.uidaho.edu/index.php/poems/elephants-1/	sadness	0.4542
Elephants 4	Chris Abani	2015-12-24	http://poetry.lib.uidaho.edu/index.php/poems/elephants-4/	anger	0.1848
Elephants 4	Chris Abani	2015-12-24	http://poetry.lib.uidaho.edu/index.php/poems/elephants-4/	disgust	0.182
Elephants 4	Chris Abani	2015-12-24	http://poetry.lib.uidaho.edu/index.php/poems/elephants-4/	fear	0.4643
Elephants 4	Chris Abani	2015-12-24	http://poetry.lib.uidaho.edu/index.php/poems/elephants-4/	joy	0.0706
Elephants 4	Chris Abani	2015-12-24	http://poetry.lib.uidaho.edu/index.php/poems/elephants-4/	sadness	0.4574
Elephants 5	Chris Abani	2016-04-14	http://poetry.lib.uidaho.edu/index.php/poems/elephants-5/	anger	0.1334
Elephants 5	Chris Abani	2016-04-14	http://poetry.lib.uidaho.edu/index.php/poems/elephants-5/	disgust	0.1253
Elephants 5	Chris Abani	2016-04-14	http://poetry.lib.uidaho.edu/index.php/poems/elephants-5/	fear	0.4116
Elephants 5	Chris Abani	2016-04-14	http://poetry.lib.uidaho.edu/index.php/poems/elephants-5/	joy	0.2223
Elephants 5	Chris Abani	2016-04-14	http://poetry.lib.uidaho.edu/index.php/poems/elephants-5/	sadness	0.4746
Histories 4	Chris Abani	2016-04-26	http://poetry.lib.uidaho.edu/index.php/poems/histories-4/	anger	0.148
Histories 4	Chris Abani	2016-04-26	http://poetry.lib.uidaho.edu/index.php/poems/histories-4/	disgust	0.1367
Histories 4	Chris Abani	2016-04-26	http://poetry.lib.uidaho.edu/index.php/poems/histories-4/	fear	0.5413
Histories 4	Chris Abani	2016-04-26	http://poetry.lib.uidaho.edu/index.php/poems/histories-4/	joy	0.4778
Histories 4	Chris Abani	2016-04-26	http://poetry.lib.uidaho.edu/index.php/poems/histories-4/	sadness	0.4852
Histories 8	Chris Abani	2016-03-20	http://poetry.lib.uidaho.edu/index.php/poems/histories-8/	anger	0.1104
Histories 8	Chris Abani	2016-03-20	http://poetry.lib.uidaho.edu/index.php/poems/histories-8/	disgust	0.1138
Histories 8	Chris Abani	2016-03-20	http://poetry.lib.uidaho.edu/index.php/poems/histories-8/	fear	0.6425
Histories 8	Chris Abani	2016-03-20	http://poetry.lib.uidaho.edu/index.php/poems/histories-8/	joy	0.2984
Histories 8	Chris Abani	2016-03-20	http://poetry.lib.uidaho.edu/index.php/poems/histories-8/	sadness	0.569
Pilgrimage 8	Chris Abani	2016-01-08	http://poetry.lib.uidaho.edu/index.php/poems/pilgrimage-8/	anger	0.0598
Pilgrimage 8	Chris Abani	2016-01-08	http://poetry.lib.uidaho.edu/index.php/poems/pilgrimage-8/	disgust	0.7896
Pilgrimage 8	Chris Abani	2016-01-08	http://poetry.lib.uidaho.edu/index.php/poems/pilgrimage-8/	fear	0.107
Pilgrimage 8	Chris Abani	2016-01-08	http://poetry.lib.uidaho.edu/index.php/poems/pilgrimage-8/	joy	0.001
Pilgrimage 8	Chris Abani	2016-01-08	http://poetry.lib.uidaho.edu/index.php/poems/pilgrimage-8/	sadness	0.1155
Revenant 3	Chris Abani	2016-02-05	http://poetry.lib.uidaho.edu/index.php/poems/revenant-3/	anger	0.1147
Revenant 3	Chris Abani	2016-02-05	http://poetry.lib.uidaho.edu/index.php/poems/revenant-3/	disgust	0.168
Revenant 3	Chris Abani	2016-02-05	http://poetry.lib.uidaho.edu/index.php/poems/revenant-3/	fear	0.0768
Revenant 3	Chris Abani	2016-02-05	http://poetry.lib.uidaho.edu/index.php/poems/revenant-3/	joy	0.1731
Revenant 3	Chris Abani	2016-02-05	http://poetry.lib.uidaho.edu/index.php/poems/revenant-3/	sadness	0.5193
Sacrament 1	Chris Abani	2016-03-07	http://poetry.lib.uidaho.edu/index.php/poems/sacrament-1/	anger	0.0827
Sacrament 1	Chris Abani	2016-03-07	http://poetry.lib.uidaho.edu/index.php/poems/sacrament-1/	disgust	0.1195
